id,url,ścieżka,tytuł,zawiera
1,https://www.youtube.com/watch?v=AUFFWvl3j1s,frames\Africa\Algeria\Algiers,4K - Bir Mourad Raïs -  Sidi Yahia - Hydra - El Mouradia - ALGIERS - NOVEMBER 2023,True
2,https://www.youtube.com/watch?v=QOZCZzwZz1E,frames\Africa\Algeria\Algiers,4K SCENIC DRIVE😍 IN ALGIERS 😍BY NIGHT😍,True
3,https://www.youtube.com/watch?v=hmNKBmCDWtk,frames\Africa\Algeria\Algiers,Driving in Algeria - From Champ de Manoeuvre to Bab El Oued,True
4,https://www.youtube.com/watch?v=fW69dQqxFC4,frames\Africa\Algeria\Algiers,Driving in Algiers - From El Madania to Ben Aknoun on a Rainy Day,True
5,https://www.youtube.com/watch?v=dfAPPMxb51Y,frames\Africa\Algeria\Algiers,DRIVING IN ALGIERS ALN AVENUE,True
6,https://www.youtube.com/watch?v=v2UmU4knL0c,frames\Africa\Algeria\Algiers,Driving In Algiers - From Les Sources To Bouzareah,True
7,https://www.youtube.com/watch?v=fCaDkLfRWkA,frames\Africa\Algeria\Algiers,Driving in Algiers - From El Madania to the Olof Palme Park in Hydra,True
8,https://www.youtube.com/watch?v=gtDAGUqgtcg,frames\Africa\Algeria\Algiers,i drive in Algiers,True
9,https://www.youtube.com/watch?v=m8ADnbfcvb0,frames\Africa\Algeria\Algiers,Annaba Algeria - car Driving - 22/05/2025 #algeria #annaba,True
10,https://www.youtube.com/watch?v=0586h1k5Zs8,frames\Africa\Algeria\Algiers,Driving in Algiers - From El Madania (ex-Salembier) to Martyrs' Square,True
11,https://www.youtube.com/watch?v=Eg4HKQtjqKw,frames\Africa\Algeria\Algiers,Driving in Algeria's countryside,True
12,https://www.youtube.com/watch?v=ljEcGPE9g0k,frames\Africa\Algeria\Algiers,Algiers driving beauty 🌹جمال الجزائر,True
13,https://www.youtube.com/watch?v=XVWZhceGq7o,frames\Africa\Algeria\Algiers,Driving in the Sahara (Morocco near Algerian border),True
14,https://www.youtube.com/watch?v=sGyYDywsWsM,frames\Africa\Algeria\Algiers,A descent from the countryside  ( Awlad Si Mohamed ) to the road leading to the ( El-Obeid Majaja ),False
15,https://www.youtube.com/watch?v=tVkMrPwTUxY,frames\Africa\Algeria\Algiers,Driving in Algiers - From Bouzareah to the Bainem Forest,True
16,https://www.youtube.com/watch?v=6MWV1oq5tbQ,frames\Africa\Algeria\Algiers,Driving from  Tizi Mejber to Zemmoura I Algerian Countryside,True
17,https://www.youtube.com/watch?v=f16-940qfhs,frames\Africa\Algeria\Algiers,Driving From Algiers to Biskra,True
18,https://www.youtube.com/watch?v=sbqYfo0kEDI,frames\Africa\Algeria\Algiers,DRIVING TOWARDS SAHARA I DESERT PEOPLE OF ALGERIA,True
19,https://www.youtube.com/watch?v=TVONG2R3EbQ,frames\Africa\Algeria\Algiers,Driving in Algiers - From Ain Benian to Bouzareah through Sidi El Kebir,True
20,https://www.youtube.com/watch?v=D9O5WIWlTvw,frames\Africa\Algeria\Algiers,Driving in Algeria - From Chrea to Hammam Melouane,True
21,https://www.youtube.com/watch?v=TmMrzVaWUZQ,frames\Africa\Algeria\Algiers,2018 drive in algeria,True
22,https://www.youtube.com/watch?v=o88Bbd1idwg,frames\Africa\Algeria\Algiers,Driving in Algiers - From Ain Taya to El Marsa - من عين طاية إلى المرسة,True
23,https://www.youtube.com/watch?v=DQselx8PMFg,frames\Africa\Algeria\Algiers,Driving in Algiers - From Champ de Manoeuvres to the Fusilles Square,True
24,https://www.youtube.com/watch?v=cbDs2_xGheI,frames\Africa\Algeria\Algiers,"dashcam,road to tikjda, Algeria, winter 2017",True
25,https://www.youtube.com/watch?v=wDV0w4XAQuw,frames\Africa\Algeria\Algiers,"Drive With Juri #1 (South of France, between Montpellier and Arles)",False
26,https://www.youtube.com/watch?v=RL_Bce4gGvE,frames\Africa\Algeria\Algiers,Driving Down Michigan's  Backroads From Alger To Alpena,False
27,https://www.youtube.com/watch?v=PmsupDUKg84,frames\Africa\Algeria\Algiers,Drive through the mountains in Algeria Batna,True
28,https://www.youtube.com/watch?v=t8Uf46iuzCw,frames\Africa\Algeria\Algiers,Driving on rural roads close to Tehran- 2021,False
29,https://www.youtube.com/watch?v=Dhga6cxqd68,frames\Africa\Algeria\Algiers,"Alger, Michigan. When You Make It Big",False
30,https://www.youtube.com/watch?v=GuOr2rTtgII,frames\Africa\Algeria\Algiers,Algerian in USA Driving around Lake Olathe Part 2 # idir adrar inu#,True
31,https://www.youtube.com/watch?v=IM6CqxtOTB4,frames\Africa\Algeria\Algiers,Mark Knopfler Road in Algeria,True
32,https://www.youtube.com/watch?v=ifocm7GboXI,frames\Africa\Algeria\Algiers,[4K] Driving in the Sahara Desert - Merzouga to Midelt (MA),False
33,https://www.youtube.com/watch?v=z8O0u3FblLk,frames\Africa\Algeria\Algiers,Exclusive Rain Storm footage for the big Algiers rain storm of March 2017,True
34,https://www.youtube.com/watch?v=kDZ4nNB8P7A,frames\Africa\Algeria\Algiers,"The road is between the Nejmeh neighborhood and the municipality of Tlilat, Oran",False
35,https://www.youtube.com/watch?v=SituBy4XWBg,frames\Africa\Algeria\Algiers,🇲🇦 Morocco - Driving On The Highway 🇲🇦,False
36,https://www.youtube.com/watch?v=N0zRWwA2JXQ,frames\Africa\Algeria\Algiers,"The Road to Lac Noir, Adekar, Bejaia, Algeria | Part One",True
37,https://www.youtube.com/watch?v=VeILScgpmbw,frames\Africa\Algeria\Algiers,Driving in Blida - Chrea Driving at Night - السياقة في منطقة الشريعة ليلا,False
38,https://www.youtube.com/watch?v=6R5DKO_QPK4,frames\Africa\Algeria\Algiers,Road to Bejaia Algeria,True
39,https://www.youtube.com/watch?v=S29g4zNGCs0,frames\Africa\Egypt\Cairo,Roxy ➜ Tahrir Square | Driving In Egypt | Tahrir Square Egypt | Cairo Drive,True
40,https://www.youtube.com/watch?v=-R0G6vPsOs0,frames\Africa\Egypt\Cairo,World's Craziest Traffic! (Cairo Egypt),True
